Map file name, A* time (s), LRTA time (s), TT IDA time (s), New IDA time (s), A* expended nodes, New IDA expended nodes, A* generated nodes, New IDA generated nodes, A* current memory used, LRTA current memory used, TT current IDA memory used, New IDA current memory used, A* peak memory used, LRTA peak memory used, TT IDA peak memory used, New IDA peak memory used, A* traversed nodes, LRTA traversed nodes, TT IDA traversed nodes, New IDA traversed nodes, A* cost, LRTA cost, TT IDA cost, New IDA cost
map10_40\6.txt,0.0,0.0,0.0,0.0,21,1,32,6,530,466,476,1602,19052,18906,18916,20042,54,80,51,37,18,18,18,18
map10_40\60.txt,0.0,0.0,0.0011577606201171875,0.0,21,1,34,4,530,466,530,1266,19052,18906,19710,19706,55,71,54,42,18,18,18,18
map10_40\61.txt,0.0,0.0,0.0,0.0,25,1,35,6,530,466,530,1602,19052,18906,18970,20042,62,95,62,40,18,18,18,18
map10_40\62.txt,0.0,0.0,0.0,0.0,21,1,28,2,530,466,530,930,19052,18906,18970,19370,48,57,46,31,18,18,18,18
map10_40\63.txt,0.0,0.002086639404296875,0.0010066032409667969,0.0,35,2,37,4,530,494,530,1266,19052,19671,19713,19706,75,394,120,68,20,20,20,20
map10_40\64.txt,0.0,0.0010306835174560547,0.0,0.0,39,11,56,22,679,3451,463,3383,19271,22729,18973,21975,106,560,142,134,20,20,20,20
map10_40\65.txt,0.0,0.0,0.0,0.0,20,1,31,4,463,345,463,1199,19052,18852,18970,19706,50,71,51,36,18,18,18,18
map10_40\66.txt,0.0,0.0,0.0,0.0,23,3,28,5,409,399,409,1367,18998,18909,18916,19874,50,180,68,43,20,20,20,20
map10_40\67.txt,0.0,0.0,0.0,0.0010564327239990234,19,1,28,5,463,399,463,1367,19052,18906,18970,20614,45,85,60,48,18,18,18,18
map10_40\68.txt,0.0,0.0,0.0,0.0,19,1,28,5,463,399,463,1367,19052,18906,18970,19874,46,72,49,38,18,18,18,18
map10_40\69.txt,0.0010154247283935547,0.0013632774353027344,0.0011107921600341797,0.0,31,7,39,12,463,427,463,2039,19792,19705,19713,20546,74,467,117,88,20,20,20,20
map10_40\7.txt,0.0,0.0,0.0011188983917236328,0.0,20,1,32,5,463,399,463,1367,19052,18906,19710,19874,51,63,48,34,18,18,18,18
map10_40\70.txt,0.0,0.0,0.0,0.0,22,1,28,5,463,466,463,1434,19052,18909,18970,19874,48,114,45,37,18,18,18,18
map10_40\71.txt,0.0,0.0,0.0,0.0,21,1,29,5,463,399,463,1367,19052,18909,18970,19874,50,150,59,61,18,18,18,18
map10_40\72.txt,0.0010528564453125,0.0012316703796386719,0.0010209083557128906,0.0,39,2,48,7,463,427,463,1703,19690,19705,19713,20210,94,266,129,64,20,20,20,20
map10_40\73.txt,0.0,0.0,0.0,0.0,23,1,31,3,463,399,463,1031,19052,18909,18970,19538,56,104,52,34,18,18,18,18
map10_40\74.txt,0.0,0.0,0.0,0.0,20,1,26,1,463,399,463,695,19052,18909,18970,19202,46,100,47,35,18,18,18,18
map10_40\75.txt,0.0,0.0,0.0,0.0010726451873779297,20,1,27,5,409,345,463,1367,18998,18855,18970,20614,45,107,56,46,18,18,18,18
map10_40\76.txt,0.0,0.0,0.0012271404266357422,0.0,30,1,42,3,463,399,463,1031,19052,18906,19710,19538,70,66,72,37,18,18,18,18
map10_40\77.txt,0.0,0.0011594295501708984,0.0011963844299316406,0.0,30,7,40,14,463,373,463,2375,19052,19651,19713,20882,75,291,109,92,20,20,20,20
map10_40\78.txt,0.0,0.0,0.0011858940124511719,0.0,23,1,32,4,409,345,463,1199,18998,18852,19710,19706,57,70,60,41,18,18,18,18
map10_40\79.txt,0.0,0.0,0.0,0.0,30,2,43,6,409,399,409,1535,18998,18909,18916,20042,76,167,87,42,20,20,20,20
map10_40\8.txt,0.0,0.0,0.0,0.0,24,1,30,3,463,399,463,1031,19052,18906,18970,19538,53,29,53,30,18,18,18,18
map10_40\80.txt,0.0,0.0,0.0,0.0,23,1,34,6,463,345,463,1535,19052,18855,18970,20042,57,158,53,52,18,18,18,18
map10_40\81.txt,0.0013778209686279297,0.0,0.0010707378387451172,0.0,21,1,30,4,463,345,463,1199,19792,18852,19710,19706,53,30,50,31,18,18,18,18
map10_40\82.txt,0.0,0.0,0.0,0.0,20,1,29,1,463,345,463,695,19052,18852,18970,19202,46,59,46,32,18,18,18,18
map10_40\83.txt,0.0,0.0010025501251220703,0.0010173320770263672,0.0,35,13,41,16,527,491,1223,2103,19116,19769,20473,20692,77,513,214,84,24,24,24,24
map10_40\84.txt,0.0,0.0010030269622802734,0.0010025501251220703,0.0,37,12,50,16,463,427,463,3487,19052,19705,19713,22079,92,485,173,114,20,20,20,20
map10_40\85.txt,0.0,0.0,0.0,0.0,21,1,31,5,463,345,463,1313,19052,18855,18970,19820,51,127,47,42,18,18,18,18
map10_40\86.txt,0.0,0.0,0.0,0.0,21,1,26,2,463,399,512,863,19052,18906,19019,19370,45,97,43,35,18,18,18,18
map10_40\87.txt,0.0,0.0011591911315917969,0.0010919570922851562,0.0,30,7,37,14,463,427,409,2375,19052,19705,19659,20882,70,372,114,78,20,20,20,20
map10_40\88.txt,0.0,0.0011134147644042969,0.0011565685272216797,0.0,35,4,39,8,463,427,463,1871,19052,19705,19713,20378,73,327,129,68,22,22,22,22
map10_40\89.txt,0.0,0.0,0.0,0.0,23,1,30,2,409,399,463,863,18998,18906,18970,19370,54,27,51,29,18,18,18,18
map10_40\9.txt,0.0,0.0,0.0,0.0,20,1,29,2,463,399,463,863,19052,18906,18970,19370,48,61,46,32,18,18,18,18
map10_40\90.txt,0.0,0.0,0.0,0.0,24,1,31,3,463,399,463,1031,19052,18906,18970,19538,53,29,54,30,18,18,18,18
map10_40\91.txt,0.0,0.0,0.0,0.0010004043579101562,21,1,29,6,463,399,463,1535,19052,18906,18970,20782,48,73,49,42,18,18,18,18
map10_40\92.txt,0.0,0.0010867118835449219,0.0,0.0,20,1,31,2,463,399,463,863,19052,19646,18970,19370,52,27,49,29,18,18,18,18
map10_40\93.txt,0.0,0.0,0.0,0.0,29,1,40,5,463,399,463,1367,19052,18909,18970,19874,72,134,58,50,18,18,18,18
map10_40\94.txt,0.0,0.0,0.0,0.0,19,1,29,6,409,399,463,1535,18998,18909,18970,20042,49,207,50,54,18,18,18,18
map10_40\95.txt,0.0,0.0,0.0010046958923339844,0.0,22,1,30,2,463,345,463,863,19052,18852,19710,19370,52,58,51,31,18,18,18,18
map10_40\96.txt,0.0,0.0,0.0,0.0,26,1,36,5,463,399,409,1367,19052,18906,18916,19874,65,80,58,42,18,18,18,18
map10_40\97.txt,0.0,0.0,0.0,0.0,22,1,29,2,463,345,463,863,19052,18852,18970,19370,52,61,54,36,18,18,18,18
map10_40\98.txt,0.0010018348693847656,0.0012295246124267578,0.0010704994201660156,0.0010597705841064453,20,1,29,7,530,399,463,1703,19792,19649,19710,20950,48,235,48,61,18,18,18,18
map10_40\99.txt,0.0,0.0,0.0,0.0,21,1,30,4,463,399,463,1199,19052,18906,18970,19706,51,61,51,33,18,18,18,18
Sum,0.02030634880065918,0.0477290153503418,0.047448158264160156,0.01249241828918457,2583,292,3435,601,56504,51530,87220,158753,1927999,1929054,1967599,2017237,6215,17115,7989,5295,1882,1882,1882,1882
